ADX-安达信,advancing
ANWL-安能物流,annengwuliu
AXD-安信达,anxindakuaixi
AXWL-安迅物流,anxl
BCDDWL-百成大达物流,idada
BFDF-百福东方,baifudongfang
BJEMS-北京EMS,bjemstckj
BJKD-彪记快递,biaojikuaidi
BQCWL-百千诚物流,bqcwl
BQXHM-北青小红帽,xiaohongmao
BSHT-百世汇通,huitongkuaidi
BSWL-百世物流,baishiwuliu
BSWL-邦送物流,bangsongwuliu
BYHT-博源恒通,byht
CCES-CCES,cces
CJSD-城际速递,chengjisudi
CKY-出口易,chukou1
CS100-城市100,city100
CXGJKD-城晓国际快递,ckeex
CXWL-传喜物流,chuanxiwuliu
CYKD-创一快递,chuangyi
CYWL-长宇物流,changyuwuliu
DBWL-德邦物流,debangwuliu
DDKD-叮咚快递,dingdong
DDSY-递达速运,didasuyun
DFWL-达方物流,dfpost
DHLQQJ-DHL全球件,dhlen
DHLZGJ-DHL中国件,dhl
DHWL-东瀚物流,donghanwl
DHWL-东红物流,donghong
DSF-递四方,disifang
DSKD-D速快递,dsukuaidi
DTKD-店通快递,diantongkuaidi
DTWL-大田物流,datianwuliu
DYWL-大洋物流,dayangwuliu
EMS-EMS,ems
EMSGJJ-EMS国际件,emsguoji
EMSGJJYW-EMS国际件英文,emsinten
EMSYW-EMS英文,emsen
FBKD-飞豹快递,feibaokuaidi
FEDEXGJJ-FedEx国际件,fedex
FEDEXGJJZW-Fedex国际件中文,fedexcn
FEDEXMGJ-FedEx美国件,fedexus
FEDEXYGJ-FedEx英国件,fedexuk
FEDEXYGJZW-FedEx-英国件中文,fedexukcn
FHKD-飞狐快递,feihukuaidi
FHKD-凤凰快递,fenghuangkuaidi
FKD-飞康达,feikangda
FKD-飞快达,feikuaida
FKPS-凡客配送,vancl
FXTX-风行天下,fengxingtianxia
FYKD-凡宇快递,fanyukuaidi
FYKD-飞洋快递,shipgce
FYPS-飞远配送,feiyuanvipshop
FYWL-飞鹰物流,hnfy
GDKD-冠达快递,gda
GDTL-广东通路,guangdongtonglu
GDYZ-广东邮政,guangdongyouzhengwuliu
GJBG-国际包裹,youzhengguoji
GKSD-港快速递,gdkd
GSD-共速达,gongsuda
GTKD-国通快递,guotongkuaidi
GTSD-高铁速递,hre
GTSD-广通速递,gtongsudi
GZXCKD-贵州星程快递,gzxingcheng
HBJH-河北建华,hebeijianhua
HBWL-伙伴物流,huoban
HHKD-华航快递,hzpl
HHMMB-海红买卖宝,haihongmmb
HHWS-海红网送,haihongwangsong
HJWL-皇家物流,pfcexpress
HLWL-恒路物流,hengluwuliu
HMJWL-红马甲物流,sxhongmajia
HMJ-黄马甲,huangmajia
HMSD-海盟速递,haimengsudi
HMSD-红马速递,nedahm
HMYMD-黑猫雅玛多,yamato
HPWL-宏品物流,hongpinwuliu
HQKD-汇强快递,huiqiangkuaidi
HQKY-华企快运,huaqikuaiyun
HRWL-韩润物流,hanrun
HSWL-昊盛物流,haoshengwuliu
HTKY-华通快运,htongexpress
HTWL-户通物流,hutongwuliu
HWHQ-海外环球,haiwaihuanqiu
HW-汇文,huiwen
HXL-华夏龙,huaxialongwuliu
HYL-好运来,hlyex
HZSDUCS-合众速递UCS,ucs
JDWL-金大物流,jindawuliu
JD-京东,jd
JGSD-京广速递,jinguangsudikuaijian
JHE-佳惠尔,syjiahuier
JJKD-佳吉快递,jiajikuaidi
JJKY-佳吉快运,jiajiwuliu
JLDT-嘉里大通,jialidatong
JTKD-捷特快递,jietekuaidi
JYKD-晋越快递,jinyuekuaidi
JYKD-久易快递,jiuyicn
JYM-加运美,jiayunmeiwuliu
JYWL-佳怡物流,jiayiwuliu
KDWL-快达物流,kuaidawuliu
KJSD-快捷速递,kuaijiesudi
KLWL-康力物流,kangliwuliu
KTKD-快淘快递,kuaitao
KXD-凯信达,kxda
KYSD-跨越速递,kuayue
LBBKWL-立白宝凯物流,lbbk
LBKDYW-联邦快递英文,lianbangkuaidien
LBKD-蓝镖快递,lanbiaokuaidi
LBKD-联邦快递,lianbangkuaidi
LBSD-龙邦速递,longbanwuliu
LDGJKDYW-林道国际快递英文,ldxpres
LDGJKD-林道国际快递,shlindao
LHKD-蓝弧快递,lanhukuaidi
LHT-联昊通,lianhaowuliu
LJD-乐捷递,lejiedi
LJS-立即送,lijisong
LLKD-隆浪快递,longlangkuaidi
MBSD-民邦速递,minbangsudi
MDM-门对门,menduimen
MGKD-美国快递,meiguokuaidi
MHKD-民航快递,minghangkuaidi
MLKD-麦力快递,mailikuaidi
MLKD-美联快递,letseml
MLWL-明亮物流,mingliangwuliu
MSKD-闽盛快递,minshengkuaidi
NDSD-能达速递,ganzhongnengda
NFCMWL-南方传媒物流,ndwl
NJ100-南京100,nanjing
NJSBWL-南京晟邦物流,nanjingshengbang
PADTF-平安达腾飞,pingandatengfei
PEKD-派尔快递,peex
PSHY-配思货运,peisihuoyunkuaidi
PSXDKD-品速心达快递,pinsuxinda
PXWL-陪行物流,peixingwuliu
QBKY-秦邦快运,qbexpress
QCKD-全晨快递,quanchenkuaidi
QDAJKD-青岛安捷快递,anjiekuaidi
QFKD-全峰快递,quanfengkuaidi
QJT-全际通,quanjitong
QRT-全日通,quanritongkuaidi
QTKY-全通快运,quantwl
QTLS-七天连锁,sevendays
QYKD-全一快递,quanyikuaidi
RB-日本,japanposten
RFD-如风达,rufengda
RRSWL-日日顺物流,rrs
RYWL-日昱物流,riyuwuliu
SADMMB-赛澳递买卖宝,saiaodimmb
SAD-赛澳递,saiaodi
SAWL-圣安物流,shenganwuliu
SCKYDSD-四川快优达速递,kuaiyouda
SCWL-尚橙物流,shangcheng
SCXCKD-四川星程快递,scxingcheng
SCZP-速呈宅配,sucheng
SDWL-上大物流,shangda
SEKD-速尔快递,suer
SFMGJ-顺丰美国件,shunfengen
SFSY-顺丰速运,shunfeng
SFTWL-十方通物流,sfift
SFWL-盛丰物流,shengfengwuliu
SHHHGJHW-上海昊宏国际货物,hyk
SHKT-上海快通,shanghaikuaitong
SHWJMMB-上海无疆买卖宝,shanghaiwujiangmmb
SHWL-盛辉物流,shenghuiwuliu
SJWL-穗佳物流,suijiawuliu
STKD-申通快递,shentong
STSD-三态速递,santaisudi
STWL-速通物流,sutongwuliu
SYKD-世运快递,shiyunkuaidi
SZDCWL-深圳德创物流,dechuangwuliu
TDHY-天地华宇,tiandihuayu
TDSD-腾达速递,nntengda
TG-泰国,thailand
THTX-通和天下,tonghetianxia
TNTQQJ-TNT全球件,tnten
TNT-TNT,tnt
TSNY-坦桑尼亚,tanzania
TTKD-天天快递,tiantian
TW-台湾,postserv
TZWL-天纵物流,tianzong
TZXWL-同舟行物流,chinatzx
UPSQQJ-UPS全球件,upsen
UPS-UPS,ups
USPS-USPS,usps
WBKD-万博快递,wanboex
WJHK-文捷航空,wenjiesudi
WJWL-万家物流,wanjiawuliu
WTP-微特派,weitepai
WXWL-万象物流,wanxiangwuliu
WYSD-伍圆速递,wuyuansudi
XACLSD-西安城联速递,xianchengliansudi
XAXLKD-西安喜来快递,xilaikd
XBWL-新邦物流,xinbangwuliu
XCJB-星晨急便,xingchengjibian
XDAS-新蛋奥硕,neweggozzo
XFH-鑫飞鸿,xinhongyukuaidi
XFWL-信丰物流,xinfengwuliu
XG-香港,hkpost
XLYTWL-祥龙运通物流,xianglongyuntong
XRD-鑫锐达,bjxsrd
XSRD-鑫世锐达,xsrd
XXCB-潇湘晨报,xiaoxiangchenbao
YAD-源安达,yuananda
YBGJHY-云豹国际货运,leopard
YBJ-邮必佳,youbijia
YBSD-一邦速递,yibangwuliu
YCWL-远成物流,yuanchengwuliu
YDKD-韵达快递,yunda
YFH-原飞航,yuanfeihangwuliu
YFSD-亚风速递,yafengsudi
YFWL-越丰物流,yuefengwuliu
YJSD-银捷速递,yinjiesudi
YJWL-煜嘉物流,yujiawuliu
YLSY-亿领速运,yilingsuyun
YMWL-英脉物流,gml
YND驿WL-云南滇驿物流,dianyi
YNZC-云南中诚,czwlyn
YQGJWL-一柒国际物流,yiqiguojiwuliu
YSH-亿顺航,yishunhang
YSKY-音素快运,yinsu
YSWL-优速物流,youshuwuliu
YTD-易通达,yitongda
YTFH-一统飞鸿,yitongfeihong
YTSD-圆通速递,yuantong
YTZGKD-运通中港快递,ytkd
YTZG-运通中港,yuntongkuaidi
YWF-源伟丰,yuanweifeng
YXUL-宇鑫物流,yuxinwuliu
YX-亿翔,yxexpress
YZBGPY-邮政包裹平邮,youzhengguonei
YZJC-元智捷诚,yuanzhijiecheng
ZJB-宅急便,zhaijibian
ZJS-宅急送,zhaijisong
ZMKM-芝麻开门,zhimakaimen
ZQXCKD-重庆星程快递,cqxingcheng
ZRSD-中睿速递,zhongruisudi
ZSKD-中速快递,zhongsukuaidi
ZTDDH-中通带电话,zhongtongphone
ZTKD-中通快递,zhongtong
ZTKY-中铁快运,zhongtiewuliu
ZTWL-中铁物流,ztky
ZTWY-中天万运,zhongtianwanyun
ZWYKY-中外运空运,sinoairinex
ZWYSDZW-中外运速递中文,sinoex
ZWYSD-中外运速递,zhongwaiyun
ZXD-忠信达,zhongxinda
ZYKD-中邮快递,cnpex
ZYSD-增益速递,zengyisudi
ZYWL-中邮物流,zhongyouwuliu
ZZJH-郑州建华,zhengzhoujianhua
ZZSJ-郑州速捷,sujievip
